nome_norm,uf,lat,lon,nome
novo acordo,TO,-10.1863,-47.4023,Novo Acordo
novo alegre,TO,-12.8866,-46.5504,Novo Alegre
novo jardim,TO,-11.7423,-46.4434,Novo Jardim
oliveira de fatima,TO,-10.6532,-48.8708,Oliveira De Fátima
palmeirante,TO,-7.8552,-48.1622,Palmeirante
palmeiropolis,TO,-13.0598,-48.3901,Palmeirópolis
paraiso do tocantins,TO,-10.2276,-48.861,Paraíso Do Tocantins
parana,TO,-12.6609,-47.819,Paranã
pau d'arco,TO,-7.5593,-48.8831,Pau D'arco
pedro afonso,TO,-9.2366,-47.9778,Pedro Afonso
peixe,TO,-12.0846,-48.5823,Peixe
pequizeiro,TO,-8.4015,-48.9549,Pequizeiro
colmeia,TO,-8.8768,-48.7457,Colméia
pindorama do tocantins,TO,-11.1466,-47.5806,Pindorama Do Tocantins
piraque,TO,-6.6705,-48.2826,Piraquê
pium,TO,-10.0092,-49.8133,Pium
ponte alta do bom jesus,TO,-12.0533,-46.5478,Ponte Alta Do Bom Jesus
ponte alta do tocantins,TO,-10.7931,-47.2216,Ponte Alta Do Tocantins
porto alegre do tocantins,TO,-11.5108,-47.0437,Porto Alegre Do Tocantins
porto nacional,TO,-10.5823,-48.468,Porto Nacional
praia norte,TO,-5.4702,-47.7762,Praia Norte
presidente kennedy,TO,-8.445,-48.4771,Presidente Kennedy
pugmil,TO,-10.412,-48.8737,Pugmil
recursolandia,TO,-8.7443,-47.1377,Recursolândia
riachinho,TO,-6.4479,-48.1524,Riachinho
rio da conceicao,TO,-11.2963,-46.7544,Rio Da Conceição
rio dos bois,TO,-9.2215,-48.4894,Rio Dos Bois
rio sono,TO,-9.542,-47.4731,Rio Sono
sampaio,TO,-5.3398,-47.9231,Sampaio
sandolandia,TO,-12.4059,-49.8881,Sandolândia
santa fe do araguaia,TO,-7.0989,-48.9526,Santa Fé Do Araguaia
santa maria do tocantins,TO,-8.8106,-47.8618,Santa Maria Do Tocantins
santa rita do tocantins,TO,-10.9723,-49.346,Santa Rita Do Tocantins
santa rosa do tocantins,TO,-11.3898,-48.1082,Santa Rosa Do Tocantins
santa tereza do tocantins,TO,-10.2901,-47.7307,Santa Tereza Do Tocantins
santa terezinha do tocantins,TO,-6.4677,-47.7262,Santa Terezinha Do Tocantins
sao bento do tocantins,TO,-5.97,-47.9655,São Bento Do Tocantins
sao felix do tocantins,TO,-10.0765,-46.6539,São Félix Do Tocantins
sao miguel do tocantins,TO,-5.5389,-47.6114,São Miguel Do Tocantins
sao salvador do tocantins,TO,-12.5519,-48.3465,São Salvador Do Tocantins
sao sebastiao do tocantins,TO,-5.2461,-48.3509,São Sebastião Do Tocantins
sao valerio,TO,-11.8266,-48.1222,São Valério
silvanopolis,TO,-11.13,-48.0358,Silvanópolis
sitio novo do tocantins,TO,-5.6074,-47.7126,Sítio Novo Do Tocantins
sucupira,TO,-12.1155,-48.8235,Sucupira
taguatinga,TO,-12.3668,-46.5136,Taguatinga
taipas do tocantins,TO,-12.1321,-46.9979,Taipas Do Tocantins
talisma,TO,-12.6598,-49.0007,Talismã
palmas,TO,-10.1667,-48.101,Palmas
tocantinia,TO,-9.5552,-48.1517,Tocantínia
tocantinopolis,TO,-6.2863,-47.5519,Tocantinópolis
tupirama,TO,-8.9088,-48.2574,Tupirama
tupiratins,TO,-8.3559,-48.2214,Tupiratins
wanderlandia,TO,-6.8797,-48.022,Wanderlândia
xambioa,TO,-6.5873,-48.4403,Xambioá
acailandia,MA,-4.7321,-47.2913,Açailândia
afonso cunha,MA,-4.1902,-43.2721,Afonso Cunha
agua doce do maranhao,MA,-2.8949,-42.1229,Água Doce Do Maranhão
alcantara,MA,-2.4304,-44.5293,Alcântara
aldeias altas,MA,-4.5319,-43.4222,Aldeias Altas
altamira do maranhao,MA,-4.1554,-45.4965,Altamira Do Maranhão
alto alegre do maranhao,MA,-4.2355,-44.4126,Alto Alegre Do Maranhão
alto alegre do pindare,MA,-3.8545,-45.9805,Alto Alegre Do Pindaré
alto parnaiba,MA,-9.5357,-46.2589,Alto Parnaíba
amapa do maranhao,MA,-1.6751,-45.914,Amapá Do Maranhão
amarante do maranhao,MA,-5.4825,-46.6649,Amarante Do Maranhão
anajatuba,MA,-3.2321,-44.5475,Anajatuba
anapurus,MA,-3.534,-43.1022,Anapurus
apicum-acu,MA,-1.475,-45.102,Apicum-Açu
araguana,MA,-3.0064,-45.7594,Araguanã
araioses,MA,-2.9187,-42.0371,Araioses
arame,MA,-5.0296,-45.9556,Arame
arari,MA,-3.5635,-44.7752,Arari
axixa,MA,-2.7968,-44.0954,Axixá
bacabal,MA,-4.0641,-44.7222,Bacabal
bacabeira,MA,-2.8904,-44.3428,Bacabeira
